response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3369,0.0000,0.0000,0.0000,0.3329,0.0039,200,1.7996
0.3342,0.0000,0.0000,0.0000,0.3297,0.0044,200,1.8109
0.3406,0.0000,0.0000,0.0000,0.3375,0.0030,200,1.8130
0.3424,0.0000,0.0000,0.0000,0.3381,0.0042,200,1.8198
0.3439,0.0000,0.0000,0.0000,0.3400,0.0039,200,1.8264
0.3459,0.0000,0.0000,0.0000,0.3418,0.0039,200,1.8330
0.3473,0.0000,0.0000,0.0000,0.3445,0.0027,200,1.8401
0.3493,0.0000,0.0000,0.0000,0.3466,0.0026,200,1.8464
0.3496,0.0000,0.0000,0.0001,0.3431,0.0064,200,1.8667
0.3585,0.0000,0.0000,0.0001,0.3520,0.0064,200,1.8630
0.3686,0.0000,0.0000,0.0000,0.3468,0.0217,200,1.8536
0.3562,0.0000,0.0000,0.0000,0.3539,0.0023,200,1.8736
0.3624,0.0000,0.0000,0.0001,0.3533,0.0090,200,1.8813
0.3625,0.0000,0.0000,0.0000,0.3538,0.0086,200,1.8869
0.3609,0.0000,0.0000,0.0000,0.3587,0.0020,200,1.8942
0.3632,0.0000,0.0000,0.0001,0.3601,0.0030,200,1.9009
0.3639,0.0000,0.0000,0.0000,0.3599,0.0040,200,1.9097
0.3673,0.0000,0.0000,0.0000,0.3628,0.0044,200,1.9138
0.3688,0.0000,0.0000,0.0000,0.3662,0.0024,200,1.9205
0.3702,0.0000,0.0000,0.0000,0.3663,0.0039,200,1.9274
0.3719,0.0000,0.0000,0.0000,0.3693,0.0025,200,1.9344
0.3700,0.0000,0.0000,0.0000,0.3671,0.0028,200,1.9448
0.3826,0.0000,0.0000,0.0000,0.3789,0.0036,200,1.9479
0.3771,0.0000,0.0000,0.0000,0.3653,0.0117,200,1.9546
0.3797,0.0000,0.0000,0.0000,0.3770,0.0026,200,1.9608
0.3854,0.0000,0.0000,0.0000,0.3764,0.0087,200,1.9685
0.3898,0.0000,0.0000,0.0000,0.3845,0.0053,200,1.9754
0.3776,0.0000,0.0000,0.0000,0.3613,0.0163,200,1.9886
0.3934,0.0000,0.0000,0.0000,0.3909,0.0025,200,1.9811
0.3724,0.0000,0.0000,0.0000,0.3695,0.0028,200,2.0153
0.3966,0.0000,0.0000,0.0000,0.3913,0.0053,200,1.9948
0.3987,0.0000,0.0000,0.0000,0.3959,0.0027,200,2.0014
0.3865,0.0000,0.0000,0.0001,0.3840,0.0023,200,2.0216
0.4090,0.0000,0.0000,0.0000,0.4063,0.0027,200,2.0082
0.3832,0.0000,0.0000,0.0000,0.3809,0.0022,200,2.0417
0.4058,0.0000,0.0000,0.0000,0.4013,0.0044,200,2.0285
0.4071,0.0000,0.0000,0.0000,0.4045,0.0025,200,2.0352
0.3837,0.0000,0.0000,0.0000,0.3809,0.0027,200,2.0686
0.3862,0.0000,0.0000,0.0000,0.3834,0.0027,200,2.0753
0.3914,0.0000,0.0000,0.0000,0.3870,0.0042,200,2.1121
0.3846,0.0000,0.0000,0.0000,0.3808,0.0037,200,2.1365
0.4056,0.0000,0.0000,0.0001,0.4011,0.0044,200,2.1295
0.3936,0.0000,0.0000,0.0000,0.3804,0.0131,200,2.1451
0.3846,0.0000,0.0000,0.0000,0.3819,0.0026,200,2.1622
0.3852,0.0000,0.0000,0.0000,0.3812,0.0039,200,2.1704
0.3849,0.0000,0.0000,0.0000,0.3820,0.0028,200,2.1789
0.4190,0.0000,0.0000,0.0000,0.4162,0.0027,200,2.1536
0.3934,0.0000,0.0000,0.0000,0.3892,0.0041,200,2.1874
0.3935,0.0000,0.0000,0.0000,0.3909,0.0025,200,2.1958
0.3815,0.0000,0.0000,0.0000,0.3789,0.0026,200,2.2163
0.3850,0.0000,0.0000,0.0001,0.3821,0.0027,200,2.2215
0.3849,0.0000,0.0000,0.0000,0.3811,0.0037,200,2.2298
0.4010,0.0000,0.0000,0.0001,0.3969,0.0041,200,2.2222
0.3881,0.0000,0.0000,0.0000,0.3853,0.0027,200,2.2437
0.3956,0.0000,0.0000,0.0000,0.3930,0.0025,200,2.2494
0.3937,0.0000,0.0000,0.0000,0.3811,0.0126,200,2.2551
0.3932,0.0000,0.0000,0.0000,0.3905,0.0027,200,2.2641
0.3919,0.0000,0.0000,0.0000,0.3881,0.0038,200,2.2736
0.3933,0.0000,0.0000,0.0000,0.3908,0.0025,200,2.2811
0.3937,0.0000,0.0000,0.0000,0.3907,0.0029,200,2.2893
0.3936,0.0000,0.0000,0.0000,0.3912,0.0023,200,2.2976
0.3935,0.0000,0.0000,0.0000,0.3893,0.0041,200,2.3063
0.3935,0.0000,0.0000,0.0001,0.3895,0.0039,200,2.3148
0.3846,0.0000,0.0000,0.0000,0.3823,0.0021,200,2.3318
0.3950,0.0000,0.0000,0.0001,0.3919,0.0029,200,2.3305
0.3930,0.0000,0.0000,0.0000,0.3890,0.0039,200,2.3406
0.3765,0.0000,0.0000,0.0000,0.3734,0.0030,200,2.3662
0.3968,0.0000,0.0000,0.0000,0.3942,0.0025,200,2.3539
0.3945,0.0000,0.0000,0.0000,0.3900,0.0044,200,2.3652
0.3805,0.0000,0.0000,0.0000,0.3760,0.0044,200,2.3877
0.3756,0.0000,0.0000,0.0000,0.3714,0.0041,200,2.4082
0.4009,0.0000,0.0000,0.0000,0.3983,0.0025,200,2.3914
0.4012,0.0000,0.0000,0.0000,0.3963,0.0048,200,2.4001
0.3845,0.0000,0.0000,0.0000,0.3819,0.0025,200,2.4249
0.4010,0.0000,0.0000,0.0001,0.3965,0.0043,200,2.4173
0.3898,0.0000,0.0000,0.0000,0.3870,0.0027,200,2.4343
0.3770,0.0000,0.0000,0.0000,0.3739,0.0029,200,2.4524
0.3921,0.0000,0.0000,0.0000,0.3897,0.0023,200,2.4423
0.3779,0.0000,0.0000,0.0000,0.3760,0.0019,200,2.4615
0.3437,0.0000,0.0000,0.0000,0.3402,0.0034,200,2.5035
0.3306,0.0000,0.0000,0.0001,0.3287,0.0017,200,2.5211
0.3221,0.0000,0.0000,0.0000,0.3192,0.0029,200,2.5351
0.3236,0.0000,0.0000,0.0000,0.3216,0.0019,200,2.5388
0.3210,0.0000,0.0000,0.0000,0.3185,0.0024,200,2.5469
0.3168,0.0000,0.0000,0.0000,0.3150,0.0018,200,2.5556
0.3138,0.0000,0.0000,0.0000,0.3122,0.0015,200,2.5638
0.3104,0.0000,0.0000,0.0000,0.3078,0.0025,200,2.5726
0.3075,0.0000,0.0000,0.0000,0.3049,0.0026,200,2.5807
0.3041,0.0000,0.0000,0.0000,0.3013,0.0028,200,2.5893
0.3008,0.0000,0.0000,0.0000,0.2980,0.0027,200,2.5978
0.2973,0.0000,0.0000,0.0000,0.2953,0.0019,200,2.6064
0.2940,0.0000,0.0000,0.0000,0.2924,0.0015,200,2.6147
0.2909,0.0000,0.0000,0.0000,0.2882,0.0026,200,2.6232
0.2878,0.0000,0.0000,0.0000,0.2850,0.0027,200,2.6317
0.2784,0.0000,0.0000,0.0000,0.2764,0.0018,200,2.6489
0.2847,0.0000,0.0000,0.0000,0.2801,0.0045,200,2.6450
0.2776,0.0000,0.0000,0.0000,0.2756,0.0019,200,2.6573
0.2747,0.0000,0.0000,0.0000,0.2726,0.0021,200,2.6656
0.2711,0.0000,0.0000,0.0000,0.2691,0.0018,200,2.6744
0.2677,0.0000,0.0000,0.0000,0.2648,0.0028,200,2.6829
0.2644,0.0000,0.0000,0.0000,0.2631,0.0012,200,2.6913
0.2703,0.0000,0.0000,0.0001,0.2689,0.0012,200,2.6998
0.2663,0.0000,0.0000,0.0000,0.2646,0.0016,200,2.7082
0.2633,0.0000,0.0000,0.0000,0.2615,0.0017,200,2.7163
0.2462,0.0000,0.0000,0.0000,0.2433,0.0027,200,2.7428
0.2681,0.0000,0.0000,0.0000,0.2665,0.0016,200,2.7255
0.2642,0.0000,0.0000,0.0000,0.2618,0.0023,200,2.7336
0.2453,0.0000,0.0000,0.0000,0.2421,0.0031,200,2.7682
0.2659,0.0000,0.0000,0.0000,0.2643,0.0014,200,2.7506
0.2622,0.0000,0.0000,0.0000,0.2601,0.0020,200,2.7598
0.2486,0.0000,0.0000,0.0001,0.2475,0.0010,200,2.7838
0.2628,0.0000,0.0000,0.0000,0.2615,0.0013,200,2.7923
0.2503,0.0000,0.0000,0.0000,0.2481,0.0021,200,2.8094
0.2641,0.0000,0.0000,0.0001,0.2615,0.0024,200,2.8013
0.2527,0.0000,0.0000,0.0000,0.2500,0.0026,200,2.8294
0.2676,0.0000,0.0000,0.0000,0.2656,0.0020,200,2.8183
0.9842,0.0000,0.0000,0.0000,0.7383,0.2458,200,2.1022
0.9980,0.0000,0.0000,0.0000,0.7504,0.2475,200,2.0892
0.2572,0.0000,0.0000,0.0000,0.2547,0.0024,200,2.8394
0.2742,0.0000,0.0000,0.0000,0.2665,0.0076,200,2.8241
0.2722,0.0000,0.0000,0.0000,0.2703,0.0018,200,2.8344
0.2616,0.0000,0.0000,0.0000,0.2538,0.0077,200,2.8472
0.2605,0.0000,0.0000,0.0000,0.2585,0.0019,200,2.8572
0.2682,0.0000,0.0000,0.0000,0.2612,0.0070,200,2.8517
0.2626,0.0000,0.0000,0.0000,0.2599,0.0027,200,2.8624
0.2652,0.0000,0.0000,0.0000,0.2633,0.0018,200,2.8679
0.2609,0.0000,0.0000,0.0000,0.2583,0.0025,200,2.8776
0.2680,0.0000,0.0000,0.0000,0.2551,0.0128,200,2.8724
0.2684,0.0000,0.0000,0.0000,0.2665,0.0019,200,2.8830
0.2701,0.0000,0.0000,0.0000,0.2586,0.0114,200,2.8883
0.2656,0.0000,0.0000,0.0000,0.2603,0.0053,200,2.8934
0.2652,0.0000,0.0000,0.0000,0.2632,0.0019,200,2.8986
0.2603,0.0000,0.0000,0.0000,0.2575,0.0028,200,2.9087
0.2703,0.0000,0.0000,0.0000,0.2684,0.0018,200,2.9038
0.2679,0.0000,0.0000,0.0000,0.2642,0.0037,200,2.9195
0.2739,0.0000,0.0000,0.0000,0.2633,0.0105,200,2.9141
0.2631,0.0000,0.0000,0.0000,0.2537,0.0093,200,2.9273
0.2665,0.0000,0.0000,0.0000,0.2644,0.0020,200,2.9297
0.2670,0.0000,0.0000,0.0000,0.2644,0.0026,200,2.9349
0.2676,0.0000,0.0000,0.0000,0.2656,0.0019,200,2.9403
0.2690,0.0000,0.0000,0.0000,0.2654,0.0036,200,2.9455
0.2691,0.0000,0.0000,0.0000,0.2662,0.0028,200,2.9506
0.2695,0.0000,0.0000,0.0000,0.2678,0.0016,200,2.9557
0.2443,0.0000,0.0000,0.0000,0.2427,0.0015,200,2.9890
0.2718,0.0000,0.0000,0.0000,0.2660,0.0057,200,2.9746
0.2782,0.0000,0.0000,0.0000,0.2753,0.0028,200,2.9700
0.2712,0.0000,0.0000,0.0000,0.2670,0.0041,200,2.9796
0.2439,0.0000,0.0000,0.0000,0.2417,0.0021,200,3.0135
0.2722,0.0000,0.0000,0.0000,0.2703,0.0019,200,2.9936
0.2704,0.0000,0.0000,0.0000,0.2616,0.0087,200,2.9978
0.2455,0.0000,0.0000,0.0000,0.2438,0.0017,200,3.0324
0.2671,0.0000,0.0000,0.0000,0.2641,0.0030,200,3.0165
0.2670,0.0000,0.0000,0.0000,0.2641,0.0028,200,3.0220
0.2456,0.0000,0.0000,0.0000,0.2440,0.0016,200,3.0597
0.2649,0.0000,0.0000,0.0000,0.2633,0.0015,200,3.0551
0.2638,0.0000,0.0000,0.0000,0.2612,0.0025,200,3.0654
0.2529,0.0000,0.0000,0.0000,0.2506,0.0022,200,3.0821
0.2555,0.0000,0.0000,0.0000,0.2522,0.0032,200,3.0864
0.2601,0.0000,0.0000,0.0000,0.2583,0.0017,200,3.0872
0.2578,0.0000,0.0000,0.0000,0.2537,0.0040,200,3.0967
0.2732,0.0000,0.0000,0.0000,0.2712,0.0019,200,3.0859
0.2598,0.0000,0.0000,0.0000,0.2575,0.0022,200,3.1089
0.2729,0.0000,0.0000,0.0000,0.2639,0.0089,200,3.0983
0.2737,0.0000,0.0000,0.0000,0.2717,0.0020,200,3.1066
0.2649,0.0000,0.0000,0.0000,0.2561,0.0087,200,3.1177
0.2651,0.0000,0.0000,0.0000,0.2625,0.0025,200,3.1250
0.2761,0.0000,0.0000,0.0000,0.2737,0.0023,200,3.1199
0.2689,0.0000,0.0000,0.0000,0.2661,0.0027,200,3.1330
0.2712,0.0000,0.0000,0.0000,0.2687,0.0025,200,3.1405
0.2752,0.0000,0.0000,0.0000,0.2663,0.0089,200,3.1386
0.2686,0.0000,0.0000,0.0000,0.2663,0.0022,200,3.1513
0.2687,0.0000,0.0000,0.0000,0.2633,0.0053,200,3.1591
0.2689,0.0000,0.0000,0.0000,0.2658,0.0031,200,3.1639
0.2787,0.0000,0.0000,0.0000,0.2765,0.0021,200,3.1584
0.2740,0.0000,0.0000,0.0000,0.2709,0.0031,200,3.1690
0.2749,0.0000,0.0000,0.0000,0.2717,0.0031,200,3.1740
0.2642,0.0000,0.0000,0.0000,0.2624,0.0018,200,3.1903
0.2774,0.0000,0.0000,0.0000,0.2737,0.0036,200,3.1874
0.2818,0.0000,0.0000,0.0000,0.2786,0.0031,200,3.1880
0.2793,0.0000,0.0000,0.0000,0.2773,0.0019,200,3.1962
0.2759,0.0000,0.0000,0.0001,0.2661,0.0098,200,3.2020
0.2760,0.0000,0.0000,0.0000,0.2741,0.0019,200,3.2079
1.3719,0.0000,0.0000,0.0000,0.3939,0.9780,200,2.1156
0.2755,0.0000,0.0000,0.0001,0.2721,0.0033,200,3.2145
0.2661,0.0000,0.0000,0.0000,0.2633,0.0028,200,3.2333
0.2820,0.0000,0.0000,0.0000,0.2801,0.0018,200,3.2197
0.2824,0.0000,0.0000,0.0000,0.2803,0.0020,200,3.2252
0.2560,0.0000,0.0000,0.0000,0.2545,0.0014,200,3.2574
0.2732,0.0000,0.0000,0.0000,0.2712,0.0020,200,3.2464
0.2751,0.0000,0.0000,0.0000,0.2714,0.0035,200,3.2508
0.2831,0.0000,0.0000,0.0000,0.2809,0.0022,200,3.2483
0.2611,0.0000,0.0000,0.0000,0.2596,0.0014,200,3.2779
0.2819,0.0000,0.0000,0.0000,0.2746,0.0072,200,3.2658
0.2804,0.0000,0.0000,0.0001,0.2783,0.0020,200,3.2682
0.2519,0.0000,0.0000,0.0000,0.2501,0.0017,200,3.3054
0.2770,0.0000,0.0000,0.0000,0.2735,0.0034,200,3.2890
0.2845,0.0000,0.0000,0.0000,0.2828,0.0016,200,3.2836
1.4494,0.0000,0.0000,0.0000,1.2067,0.2426,200,2.1225
0.2629,0.0000,0.0000,0.0000,0.2615,0.0013,200,3.3200
0.2516,0.0000,0.0000,0.0000,0.2494,0.0021,200,3.3350
0.2525,0.0000,0.0000,0.0000,0.2514,0.0011,200,3.3419
0.2656,0.0000,0.0000,0.0000,0.2612,0.0044,200,3.3291
0.2535,0.0000,0.0000,0.0000,0.2505,0.0030,200,3.3473
0.2504,0.0000,0.0000,0.0000,0.2492,0.0012,200,3.3545
0.2542,0.0000,0.0000,0.0001,0.2519,0.0022,200,3.3687
